Country,Subject Descriptor,Units,Scale,"Country/Series-specific Notes",2019,2020,2021
Aruba,General government net lending/borrowing,Percent of GDP,,,0.39,-15.681,-3.587
Aruba,Current account balance,Percent of GDP,,,-0.224,-11.153,-1.051
Australia,"Gross domestic product, constant prices",Percent change,,,1.847,-6.665,6.111
Australia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,"1,362.07","1,279.36","1,384.02"
Australia,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,0.294,-8.088,4.494
Australia,"Inflation, average consumer prices",Percent change,,,1.61,1.431,1.823
Australia,"Inflation, end of period consumer prices",Percent change,,,1.842,1.164,2.015
Australia,Unemployment rate,Percent of total labor force,,,5.183,7.621,8.924
Australia,General government net lending/borrowing,Percent of GDP,,,-3.732,-9.726,-7.336
Australia,Current account balance,Percent of GDP,,,0.509,-0.631,-1.805
Austria,"Gross domestic product, constant prices",Percent change,,,1.585,-6.997,4.51
Austria,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,476.812,446.265,475.484
Austria,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,0.839,-7.63,3.852
Austria,"Inflation, average consumer prices",Percent change,,,1.49,0.44,1.699
Austria,"Inflation, end of period consumer prices",Percent change,,,1.801,0.3,1.9
Austria,Unemployment rate,Percent of total labor force,,,4.517,5.5,5
Austria,General government net lending/borrowing,Percent of GDP,,,0.443,-7.095,-1.562
Austria,Current account balance,Percent of GDP,,,2.614,1.898,1.979
Azerbaijan,"Gross domestic product, constant prices",Percent change,,,2.25,-2.184,0.707
Azerbaijan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,187.346,184.418,189.343
Azerbaijan,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,1.038,-3.344,-0.487
Azerbaijan,"Inflation, average consumer prices",Percent change,,,2.6,3.3,3.2
Azerbaijan,"Inflation, end of period consumer prices",Percent change,,,2.7,3.3,3.2
Azerbaijan,Unemployment rate,Percent of total labor force,,,4.971,4.993,4.986
Azerbaijan,General government net lending/borrowing,Percent of GDP,,,8.419,-12.822,-9.674
Azerbaijan,Current account balance,Percent of GDP,,,9.232,-8.249,-3.673
The Bahamas,"Gross domestic product, constant prices",Percent change,,,1.801,-8.325,6.689
The Bahamas,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,12.798,11.807,12.843
The Bahamas,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,0.677,-9.338,5.511
The Bahamas,"Inflation, average consumer prices",Percent change,,,1.335,2.37,2.795
The Bahamas,"Inflation, end of period consumer prices",Percent change,,,1.822,2.908,2.685
The Bahamas,Unemployment rate,Percent of total labor force,,,13.381,15.203,13.615
The Bahamas,General government net lending/borrowing,Percent of GDP,,,-1.669,-8.447,-7.022
The Bahamas,Current account balance,Percent of GDP,,,0.56,-12.674,-9.264
Bahrain,"Gross domestic product, constant prices",Percent change,,,1.819,-3.59,2.986
Bahrain,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,76.94,74.649,78.377
Bahrain,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,1.63,-5.481,0.967
Bahrain,"Inflation, average consumer prices",Percent change,,,1,2.6,2.5
Bahrain,"Inflation, end of period consumer prices",Percent change,,,1.7,2.4,2.4
Bahrain,Unemployment rate,Percent of total labor force,,,4.003,4.687,3.81
Bahrain,General government net lending/borrowing,Percent of GDP,,,-10.615,-15.708,-11.911
Bahrain,Current account balance,Percent of GDP,,,-2.928,-9.639,-7.326
Bangladesh,"Gross domestic product, constant prices",Percent change,,,7.879,2.019,9.531
Bangladesh,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,838.554,860.916,961.356
Bangladesh,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,6.773,0.973,8.408
Bangladesh,"Inflation, average consumer prices",Percent change,,,5.691,5.53,5.555
Bangladesh,"Inflation, end of period consumer prices",Percent change,,,5.713,5.53,5.555
Bangladesh,General government net lending/borrowing,Percent of GDP,,,-5.247,-6.425,-5.977
Bangladesh,Current account balance,Percent of GDP,,,-2.7,-2.167,-0.816
Barbados,"Gross domestic product, constant prices",Percent change,,,-0.098,-7.6,7.1
Barbados,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,5.432,5.051,5.515
Barbados,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,-0.351,-7.834,6.829
Barbados,"Inflation, average consumer prices",Percent change,,,4.1,4.464,1.615
Barbados,"Inflation, end of period consumer prices",Percent change,,,7.197,0.722,2.37
Barbados,Unemployment rate,Percent of total labor force,,,10.357,13.41,11.448
Barbados,General government net lending/borrowing,Percent of GDP,,,3.495,-0.552,1.04
Barbados,Current account balance,Percent of GDP,,,-3.591,-7.765,-5.576
Belarus,"Gross domestic product, constant prices",Percent change,,,1.222,-5.992,3.487
Belarus,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,195.119,184.593,194.755
Belarus,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,1.404,-5.519,4.007
Belarus,"Inflation, average consumer prices",Percent change,,,5.6,5.608,5.593
Belarus,"Inflation, end of period consumer prices",Percent change,,,4.73,6.532,4.941
Belarus,Unemployment rate,Percent of total labor force,,,0.308,2.322,1.829
Belarus,General government net lending/borrowing,Percent of GDP,,,0.626,-4.632,-2.999
Belarus,Current account balance,Percent of GDP,,,-1.848,-2.932,-2.508
Belgium,"Gross domestic product, constant prices",Percent change,,,1.365,-6.924,4.564
Belgium,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,572.902,536.621,572.053
Belgium,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,0.861,-7.404,4.024
Belgium,"Inflation, average consumer prices",Percent change,,,1.249,0.253,1.09
Belgium,"Inflation, end of period consumer prices",Percent change,,,0.922,-0.167,1.423
Belgium,Unemployment rate,Percent of total labor force,,,5.358,7.3,6.8
Belgium,General government net lending/borrowing,Percent of GDP,,,-1.658,-8.875,-6.049
Belgium,Current account balance,Percent of GDP,,,-1.227,-0.702,-1.078
Belize,"Gross domestic product, constant prices",Percent change,,,0.297,-11.997,7.607
Belize,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,3.358,2.974,3.263
Belize,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,-2.801,-13.722,5.188
Belize,"Inflation, average consumer prices",Percent change,,,0.597,0.999,1.402
Belize,"Inflation, end of period consumer prices",Percent change,,,1.2,0.8,2
Belize,Unemployment rate,Percent of total labor force,,,9.1,18.676,14.457
Belize,General government net lending/borrowing,Percent of GDP,,,-1.843,-5.188,-4.257
Belize,Current account balance,Percent of GDP,,,-7.761,-18.625,-9.006
Benin,"Gross domestic product, constant prices",Percent change,,,6.397,4.519,5.974
Benin,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,40.643,42.749,46.186
Benin,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,3.483,1.66,3.077
Benin,"Inflation, average consumer prices",Percent change,,,-0.933,-0.801,0.6
Benin,"Inflation, end of period consumer prices",Percent change,,,0.274,-0.801,0.6
Benin,General government net lending/borrowing,Percent of GDP,,,-0.545,-2.808,-2.189
Benin,Current account balance,Percent of GDP,,,-5.057,-5.323,-3.677
Bhutan,"Gross domestic product, constant prices",Percent change,,,5.335,2.671,2.866
Bhutan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,7.937,8.2,8.6
Bhutan,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,4.052,1.421,1.614
Bhutan,"Inflation, average consumer prices",Percent change,,,2.6,3.072,3.482
Bhutan,"Inflation, end of period consumer prices",Percent change,,,2.7,3.444,3.521
Bhutan,General government net lending/borrowing,Percent of GDP,,,0.642,-5.529,-5.858
Bhutan,Current account balance,Percent of GDP,,,-23.073,-21.254,-20.167
Bolivia,"Gross domestic product, constant prices",Percent change,,,2.8,-2.9,2.9
Bolivia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,93.357,91.225,95.701
Bolivia,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,1.299,-4.318,1.397
Bolivia,"Inflation, average consumer prices",Percent change,,,1.839,2.262,4.352
Bolivia,"Inflation, end of period consumer prices",Percent change,,,1.469,4.106,3.763
Bolivia,Unemployment rate,Percent of total labor force,,,4,8,4
Bolivia,General government net lending/borrowing,Percent of GDP,,,-7.034,-7.323,-6.929
Bolivia,Current account balance,Percent of GDP,,,-3.22,-4.624,-4.878
Bosnia and Herzegovina,"Gross domestic product, constant prices",Percent change,,,2.7,-5,3.5
Bosnia and Herzegovina,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,49.727,47.54,50.164
Bosnia and Herzegovina,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,2.752,-4.903,3.682
Bosnia and Herzegovina,"Inflation, average consumer prices",Percent change,,,0.684,-0.64,1.373
Bosnia and Herzegovina,"Inflation, end of period consumer prices",Percent change,,,0.752,-0.64,1.235
Bosnia and Herzegovina,Unemployment rate,Percent of total labor force,,,15.7,18,16.5
Bosnia and Herzegovina,General government net lending/borrowing,Percent of GDP,,,2.216,-4.424,0.951
Bosnia and Herzegovina,Current account balance,Percent of GDP,,,-3.563,-7.48,-5.549
Botswana,"Gross domestic product, constant prices",Percent change,,,2.966,-5.379,6.781
Botswana,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,43.907,41.809,45.514
Botswana,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,1.087,-7.106,4.832
Botswana,"Inflation, average consumer prices",Percent change,,,2.845,2.116,2.581
Botswana,"Inflation, end of period consumer prices",Percent change,,,2.2,2.116,2.581
Botswana,General government net lending/borrowing,Percent of GDP,,,-6.173,-5.903,-3.137
Botswana,Current account balance,Percent of GDP,,,-5.249,-2.466,-1.659
Brazil,"Gross domestic product, constant prices",Percent change,,,1.133,-5.303,2.89
Brazil,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,"3,480.55","3,316.92","3,479.34"
Brazil,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,0.338,-5.936,2.233
Brazil,"Inflation, average consumer prices",Percent change,,,3.733,3.555,3.305
Brazil,"Inflation, end of period consumer prices",Percent change,,,4.306,3.01,3.268
Brazil,Unemployment rate,Percent of total labor force,,,11.925,14.7,13.5
Brazil,General government net lending/borrowing,Percent of GDP,,,-6.017,-9.349,-6.132
Brazil,Current account balance,Percent of GDP,,,-2.69,-1.771,-2.306
Brunei Darussalam,"Gross domestic product, constant prices",Percent change,,,3.869,1.297,3.541
Brunei Darussalam,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,36.631,37.342,39.418
Brunei Darussalam,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,2.833,1.064,3.303
Brunei Darussalam,"Inflation, average consumer prices",Percent change,,,-0.481,0.903,0.971
Brunei Darussalam,"Inflation, end of period consumer prices",Percent change,,,-0.083,0.903,0.971
Brunei Darussalam,Unemployment rate,Percent of total labor force,,,9.316,9.316,9.316
Brunei Darussalam,General government net lending/borrowing,Percent of GDP,,,-10.455,-26.578,-21.635
Brunei Darussalam,Current account balance,Percent of GDP,,,4.323,-1.249,2.129
Bulgaria,"Gross domestic product, constant prices",Percent change,,,3.372,-4,6.04
Bulgaria,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,170.925,165.13,178.518
Bulgaria,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,3.891,-3.45,6.68
Bulgaria,"Inflation, average consumer prices",Percent change,,,2.457,1.029,1.948
Bulgaria,"Inflation, end of period consumer prices",Percent change,,,3.1,1,2.4
Bulgaria,Unemployment rate,Percent of total labor force,,,4.2,8,4.5
Bulgaria,General government net lending/borrowing,Percent of GDP,,,-0.968,-2.94,-1.422
Bulgaria,Current account balance,Percent of GDP,,,4.042,1.663,0.556
Burkina Faso,"Gross domestic product, constant prices",Percent change,,,5.689,1.996,5.804
Burkina Faso,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,47.303,48.553,52.373
Burkina Faso,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,2.701,-0.887,2.814
Burkina Faso,"Inflation, average consumer prices",Percent change,,,-3.233,3.2,2.1
Burkina Faso,"Inflation, end of period consumer prices",Percent change,,,-2.556,3.2,2.1
Burkina Faso,General government net lending/borrowing,Percent of GDP,,,-2.995,-5,-3.5
Burkina Faso,Current account balance,Percent of GDP,,,-4.354,-4.268,-4.466
Burundi,"Gross domestic product, constant prices",Percent change,,,1.772,-5.542,4.212
Burundi,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,8.711,8.281,8.798
Burundi,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,-1.192,-8.293,1.177
Burundi,"Inflation, average consumer prices",Percent change,,,-0.709,8,6
Burundi,"Inflation, end of period consumer prices",Percent change,,,5.142,10.427,2.452
Burundi,General government net lending/borrowing,Percent of GDP,,,-5.964,-8.996,-6.761
Burundi,Current account balance,Percent of GDP,,,-16.398,-17.115,-16.616
Cabo Verde,"Gross domestic product, constant prices",Percent change,,,5.458,-4.04,5.506
Cabo Verde,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,4.343,4.194,4.511
Cabo Verde,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,4.216,-5.171,4.263
Cabo Verde,"Inflation, average consumer prices",Percent change,,,1.107,1.3,1.4
Cabo Verde,"Inflation, end of period consumer prices",Percent change,,,1.936,1.3,1.4
Cabo Verde,Unemployment rate,Percent of total labor force,,,8.5,8.5,8.5
Cabo Verde,General government net lending/borrowing,Percent of GDP,,,-1.814,-8.337,-4.283
Cabo Verde,Current account balance,Percent of GDP,,,-0.232,-7.742,-7.564
Cambodia,"Gross domestic product, constant prices",Percent change,,,7.045,-1.587,6.057
Cambodia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,76.959,76.218,82.41
Cambodia,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,5.463,-3.042,4.489
Cambodia,"Inflation, average consumer prices",Percent change,,,2.371,1.548,1.891
Cambodia,"Inflation, end of period consumer prices",Percent change,,,2.666,0.873,2.784
Cambodia,General government net lending/borrowing,Percent of GDP,,,0.448,-1.87,-1.747
Cambodia,Current account balance,Percent of GDP,,,-12.533,-22.179,-17.579
Cameroon,"Gross domestic product, constant prices",Percent change,,,3.747,-1.215,4.051
Cameroon,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,100.604,100.013,106.093
Cameroon,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,1.216,-3.625,1.513
Cameroon,"Inflation, average consumer prices",Percent change,,,2.451,2.8,2.25
Cameroon,"Inflation, end of period consumer prices",Percent change,,,2.402,2.4,2.1
Cameroon,General government net lending/borrowing,Percent of GDP,,,-2.341,-4.468,-3.618
Cameroon,Current account balance,Percent of GDP,,,-3.675,-5.658,-4.805
Canada,"Gross domestic product, constant prices",Percent change,,,1.636,-6.226,4.246
Canada,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,"1,904.39","1,797.17","1,910.00"
Canada,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,0.193,-7.525,3.126
Canada,"Inflation, average consumer prices",Percent change,,,1.949,0.61,1.261
Canada,"Inflation, end of period consumer prices",Percent change,,,2.062,0.22,1.59
Canada,Unemployment rate,Percent of total labor force,,,5.667,7.474,7.214
Canada,General government net lending/borrowing,Percent of GDP,,,-0.393,-11.837,-3.843
Canada,Current account balance,Percent of GDP,,,-1.97,-3.673,-2.311
Central African Republic,"Gross domestic product, constant prices",Percent change,,,2.97,1.044,3.989
Central African Republic,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,4.199,4.27,4.527
Central African Republic,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,1.256,-0.735,2.087
Central African Republic,"Inflation, average consumer prices",Percent change,,,2.685,1.25,2.536
Central African Republic,"Inflation, end of period consumer prices",Percent change,,,-2.803,3.469,2.522
Central African Republic,General government net lending/borrowing,Percent of GDP,,,1.424,-2.413,0.352
Central African Republic,Current account balance,Percent of GDP,,,-4.925,-5.348,-5.012
Chad,"Gross domestic product, constant prices",Percent change,,,2.96,-0.158,6.067
Chad,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,31.913,32.065,34.674
Chad,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,-0.068,-3.069,3.001
Chad,"Inflation, average consumer prices",Percent change,,,-0.972,2.241,2.905
Chad,"Inflation, end of period consumer prices",Percent change,,,-1.679,2.294,2.942
Chad,General government net lending/borrowing,Percent of GDP,,,-0.172,-0.439,-2.232
Chad,Current account balance,Percent of GDP,,,-4.873,-12.919,-10.075
Chile,"Gross domestic product, constant prices",Percent change,,,1.124,-4.486,5.274
Chile,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,495.176,475.964,510.835
Chile,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,-0.759,-6.21,3.887
Chile,"Inflation, average consumer prices",Percent change,,,2.253,3.374,2.926
Chile,"Inflation, end of period consumer prices",Percent change,,,2.976,2.5,3
Chile,Unemployment rate,Percent of total labor force,,,7.319,9.709,8.88
Chile,General government net lending/borrowing,Percent of GDP,,,-2.647,-6.317,-3.538
Chile,Current account balance,Percent of GDP,,,-3.934,-0.869,-1.775
China,"Gross domestic product, constant prices",Percent change,,,6.11,1.181,9.206
China,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,"27,306.98","27,804.95","30,956.73"
China,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,5.756,0.872,8.914
China,"Inflation, average consumer prices",Percent change,,,2.903,3.046,2.551
China,"Inflation, end of period consumer prices",Percent change,,,4.5,0.953,2.983
China,Unemployment rate,Percent of total labor force,,,3.62,4.3,3.8
China,General government net lending/borrowing,Percent of GDP,,,-6.37,-11.228,-9.569
China,Current account balance,Percent of GDP,,,0.969,0.545,1.047
Colombia,"Gross domestic product, constant prices",Percent change,,,3.322,-2.386,3.745
Colombia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,785.836,771.957,816.482
Colombia,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,2.215,-3.353,2.718
Colombia,"Inflation, average consumer prices",Percent change,,,3.521,3.512,3.211
Colombia,"Inflation, end of period consumer prices",Percent change,,,3.796,3.198,3.042
Colombia,Unemployment rate,Percent of total labor force,,,10.5,12.2,11.916
Colombia,General government net lending/borrowing,Percent of GDP,,,-2.159,-2.46,-1.264
Colombia,Current account balance,Percent of GDP,,,-4.263,-4.672,-4.162
Comoros,"Gross domestic product, constant prices",Percent change,,,1.866,-1.16,3.096
Comoros,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,2.53,2.516,2.645
Comoros,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,-0.82,-3.748,0.42
Comoros,"Inflation, average consumer prices",Percent change,,,3.3,3,2.1
Comoros,"Inflation, end of period consumer prices",Percent change,,,5.086,-5.534,3.808
Comoros,General government net lending/borrowing,Percent of GDP,,,-2.237,-3.778,-2.747
Comoros,Current account balance,Percent of GDP,,,-3.77,-5.68,-4.51
Democratic Republic of the Congo,"Gross domestic product, constant prices",Percent change,,,4.381,-2.239,3.542
Democratic Republic of the Congo,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,83.151,81.806,86.355
Democratic Republic of the Congo,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,1.34,-5.086,0.526
Democratic Republic of the Congo,"Inflation, average consumer prices",Percent change,,,4.769,11,10.5
Democratic Republic of the Congo,"Inflation, end of period consumer prices",Percent change,,,5.5,12,9
Democratic Republic of the Congo,General government net lending/borrowing,Percent of GDP,,,-2.051,-1.178,-0.309
Democratic Republic of the Congo,Current account balance,Percent of GDP,,,-4.161,-5.441,-4.052
Republic of Congo,"Gross domestic product, constant prices",Percent change,,,-0.902,-2.277,3.431
Republic of Congo,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,31.219,30.702,32.375
Republic of Congo,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,-3.319,-4.661,0.908
Republic of Congo,"Inflation, average consumer prices",Percent change,,,2.207,2.065,2.638
Republic of Congo,"Inflation, end of period consumer prices",Percent change,,,3.799,2.517,2.718
Republic of Congo,General government net lending/borrowing,Percent of GDP,,,5.784,5.7,6.121
Republic of Congo,Current account balance,Percent of GDP,,,8.423,-1.208,-2.788
Costa Rica,"Gross domestic product, constant prices",Percent change,,,2.084,-3.292,2.971
Costa Rica,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,92.062,89.597,94.058
Costa Rica,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,1.017,-4.303,1.895
Costa Rica,"Inflation, average consumer prices",Percent change,,,2.097,1.537,2.252
Costa Rica,"Inflation, end of period consumer prices",Percent change,,,1.521,2,2.5
Costa Rica,Unemployment rate,Percent of total labor force,,,12.417,12.5,10.5
Costa Rica,General government net lending/borrowing,Percent of GDP,,,-7.008,-7.846,-7.085
Costa Rica,Current account balance,Percent of GDP,,,-2.487,-4.455,-3.082
Côte d'Ivoire,"Gross domestic product, constant prices",Percent change,,,6.9,2.7,8.7
Côte d'Ivoire,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,158.288,163.594,181.294
Côte d'Ivoire,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,4.191,0.097,5.945
Côte d'Ivoire,"Inflation, average consumer prices",Percent change,,,0.806,1.2,1.4
Côte d'Ivoire,"Inflation, end of period consumer prices",Percent change,,,1.566,1.2,1.4
Côte d'Ivoire,General government net lending/borrowing,Percent of GDP,,,-2.28,-5.272,-2.489
Côte d'Ivoire,Current account balance,Percent of GDP,,,-2.695,-3.293,-2.518
Croatia,"Gross domestic product, constant prices",Percent change,,,2.919,-9.024,4.948
Croatia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,112.623,103.111,110.323
Croatia,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,3.645,-8.512,5.799
Croatia,"Inflation, average consumer prices",Percent change,,,0.772,1.329,1.181
Croatia,"Inflation, end of period consumer prices",Percent change,,,1.379,1.126,1.225
Croatia,Unemployment rate,Percent of total labor force,,,7.8,11.5,8
Croatia,General government net lending/borrowing,Percent of GDP,,,-0.046,-6.53,-2.552
Croatia,Current account balance,Percent of GDP,,,2.913,-3.985,-1.549
Cyprus,"Gross domestic product, constant prices",Percent change,,,3.23,-6.471,5.594
Cyprus,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,36.915,34.745,37.404
Cyprus,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,1.855,-7.527,4.402
